save,car_name,move,rad,x,y,speed,point,status,l2,l1,m,r1,r2,max_leng_sensor,count
1,car1,8,2.79,23.19,19.97,1,1,1,494,1831,824,367,286,2000,30
1,car1,8,2.44,19.4,24.49,2,1,1,1040,1405,379,259,247,2000,31
1,car1,8,2.79,17.3,30.26,3,1,1,586,2000,651,291,226,2000,32
1,car1,8,2.44,13.29,35.04,4,1,1,1219,1053,284,194,185,2000,33
1,car1,8,2.09,7.86,38.17,5,1,1,2000,257,148,128,148,2000,34
1,car1,8,2.44,3.82,42.99,6,1,1,1496,507,137,93,89,2000,35
1,car1,8,2.79,1.66,48.91,7,1,1,829,2000,194,86,67,2000,36
1,car1,8,3.14,1.66,55.21,8,2,1,615,1066,2000,133,76,2000,37
1,car1,8,2.8,-0.46,61.14,9,2,1,856,2000,135,59,46,2000,38
1,car1,8,3.15,-0.42,67.44,10,2,1,637,1096,2000,92,53,2000,39
1,car1,8,2.8,-2.53,73.37,11,2,1,888,2000,73,32,25,2000,40
1,car1,8,2.45,-4.77,76.07,0,2,0,1717,14,3,2,2,2000,41
1,car1,8,3.14,25,15,0,1,1,346,600,2000,599,346,2000,42
1,car1,8,3.14,25,20.29,1,1,1,346,600,2000,599,346,2000,43
1,car1,8,3.14,25,26.19,2,1,1,346,600,2000,599,346,2000,44
1,car1,8,3.14,25,32.33,3,1,1,346,600,2000,599,346,2000,45
1,car1,8,3.14,25,38.56,4,1,1,346,600,2000,599,346,2000,46
1,car1,8,3.14,25,44.84,5,1,1,346,600,2000,599,346,2000,47
1,car1,8,3.14,25,51.13,6,2,1,346,600,2000,599,346,2000,48
1,car1,8,3.14,25,57.42,7,2,1,346,600,2000,599,346,2000,49
1,car1,8,3.14,25,63.72,8,2,1,346,600,2000,599,346,2000,50
1,car1,8,3.14,25,70.02,9,2,1,346,600,2000,599,346,2000,51
